Regiao,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
RM de Belem,379,286,211,177,151,106,81,62,64,32,38,37,33,24,20,24
RM de Sao Luis,139,159,167,100,84,91,30,33,28,34,18,29,27,25,22,26
RM de Teresina,138,81,114,106,58,41,31,28,30,24,30,20,25,28,18,29
RM de Fortaleza,281,240,299,399,372,343,263,235,199,139,68,46,61,57,43,29
RM de Natal,93,64,65,71,56,138,116,45,44,28,25,11,20,14,13,6
RM de Recife,581,444,524,553,517,304,220,163,157,124,104,59,61,53,67,64
RIDE de Petrolina/Juazeiro,77,79,55,54,46,43,25,21,27,29,45,33,40,25,31,36
RM de Maceio,253,210,256,169,162,180,73,71,139,62,49,57,24,36,28,28
RM de Salvador,446,283,442,410,355,196,141,89,108,67,64,70,37,36,31,31
RM de Belo Horizonte,340,243,305,341,312,230,163,89,78,40,50,28,25,26,11,18
Colar de Belo Horizonte,38,31,25,21,29,11,13,11,11,6,8,6,1,1,0,3
RM do Vale do Aco,14,11,22,16,21,4,12,4,1,4,1,1,3,3,2,2
Colar do Vale do Aco,11,6,10,7,5,7,3,4,2,0,3,4,2,0,1,1
RM de Vitoria,66,61,49,35,30,27,39,22,32,27,12,8,10,10,10,9
RM do Rio de Janeiro,610,294,287,335,405,309,231,135,132,77,75,67,48,63,58,49
RM de Sao Paulo,930,618,560,597,632,496,409,289,265,217,214,175,140,100,109,77
RM da Baixada Santista,78,53,46,32,30,37,21,15,17,16,8,9,9,8,3,4
RM de Campinas,74,45,44,21,35,34,10,20,13,5,10,13,4,7,7,3
RM de Curitiba,240,213,159,178,145,91,68,48,62,35,37,28,18,14,12,14
RM de Londrina,23,26,21,15,20,17,6,7,7,7,5,2,5,1,2,0
RM de Maringa,17,23,11,17,18,11,3,7,2,4,0,3,3,0,2,1
RM de Florianopolis,21,12,5,5,10,7,5,5,4,1,4,2,1,2,3,1
Expansao de Florianopolis,5,3,1,1,1,0,3,2,0,0,1,0,0,1,0,0
RM do Vale do Itajai,5,5,4,6,3,6,0,8,2,0,0,0,1,0,0,1
Expansao do Vale do Itajai,5,5,4,2,2,1,1,0,3,0,0,0,0,0,0,2
RM do N/NE Catarinense,6,4,3,6,2,1,3,1,1,2,3,0,3,1,0,0
Expansao do N/NE Catarinense,22,20,10,6,16,12,8,4,7,6,5,8,6,2,1,2
RM da Foz do Itajai,16,3,6,12,9,6,4,8,11,11,6,6,6,1,3,1
Expansao da Foz do Itajai,2,2,1,2,2,1,1,1,0,2,2,0,0,0,0,0
RM Carbonifera,33,20,4,9,4,8,2,5,3,2,4,2,1,3,1,0
Expansao da Carbonifera,1,0,1,1,1,1,0,0,0,2,0,1,1,0,0,0
RM de Tubarao,2,0,2,1,1,0,1,0,0,0,0,0,1,1,0,0
Expansao de Tubarao,9,6,3,2,4,0,6,2,3,3,0,0,2,1,1,1
RM de Porto Alegre,89,58,55,62,69,43,48,19,31,17,23,19,13,14,8,11
RM de Goiania,44,53,45,44,44,56,30,27,27,18,17,19,10,5,4,10
Entorno de Brasilia,167,116,86,94,103,72,67,63,43,43,47,41,33,33,30,28
